states,year,proportion,igt,lg(igt),f,cl,population,lg(pl),wapw,mhi
Florida,2009,,,,13,swing,18652.644,4.270740401,,53.535
Wyoming,2010,0.00163912,843086910,8.925872346,15,republican,564.46,2.751633171,0.6739,60.249
Idaho,2010,0.00545989,2808307000,9.448444582,13,republican,1571.45,3.196300567,0.6456,54.304
Kansas,2010,0.00872214,4486248000,9.651883278,15,republican,2859.169,3.456239826,0.6553,53.155
Nebraska,2010,0.00557204,2865989000,9.457274519,13,republican,1830.429,3.262552888,0.6545,60.599
North Dakota,2010,0.00320468,1648332788,9.217044898,13,republican,674.499,2.82898131,0.6702,58.87
Utah,2010,0.00722029,3713771000,9.569815121,13,republican,2776.469,3.443492829,0.6411,65.443
Maryland,2010,0.01824993,9386888000,9.972521636,16,democratic,5785.982,3.762377078,0.6854,74.1
Massachusetts,2010,0.02415599,12424681000,10.09428525,16,democratic,6557.254,3.816722007,0.6866,70.329
Rhode Island,2010,0.00489557,2518048000,9.401064005,14,democratic,1052.886,3.022381351,0.684,59.582
New York State,2010,0.09994517,51407000000,10.71102226,16,democratic,19392.283,4.28762894,0.6828,57.456
Delaware,2010,0.00273388,1406176000,9.148039681,16,democratic,899.769,2.954131026,0.6672,63.727
Washington,2010,0.02408435,12387835000,10.09299541,16,democratic,6744.496,3.828949501,0.6819,64.822
Pennsylvania,2010,0.04910288,25256164000,10.40236739,16,swing,12709.63,4.104132908,0.667,55.763
Iowa,2010,,,,16,swing,3049.883,3.484283179,,56.573
Nevada,2010,0.00636386,3273266383,9.51498135,14,swing,2704.642,3.432109788,0.6741,59.094
Wisconsin,2010,0.01994519,10258850000,10.01109868,16,swing,5691.047,3.755192172,0.6693,58.114
Ohio,2010,0.04271305,21969544000,10.34182104,16,swing,11536.182,4.062062099,0.6654,52.961
Florida,2010,,,,13,swing,18843.326,4.275157562,,50.86
Wyoming,2011,0.0020348,890661044,8.949712457,9,republican,567.299,2.753812018,0.6719,60.991
Idaho,2011,0.00646109,2828114000,9.451496912,9,republican,1583.91,3.199730501,0.6456,53.102
Kansas,2011,0.01079159,4723639000,9.6742767,9,republican,2869.225,3.457764606,0.6553,51.634
Nebraska,2011,0.00678053,2967939000,9.472454971,9,republican,1840.672,3.264976406,0.6548,62.229
North Dakota,2011,0.00362847,1588236953,9.200915296,9,republican,685.225,2.8358332,0.67,63.063
Utah,2011,0.00828474,3626354000,9.559470197,9,republican,2814.384,3.449383353,0.6414,62.092
Maryland,2011,0.02277425,9968631000,9.99863552,12,democratic,5839.419,3.766369639,0.6845,77.066
Massachusetts,2011,0.03284637,14377349000,10.15767882,12,democratic,6613.583,3.820436808,0.6862,70.842
Rhode Island,2011,0.00580591,2541335000,9.405061918,12,democratic,1053.649,3.022695959,0.6837,54.864
New York State,2011,0.12487349,54659000000,10.73766168,12,democratic,19499.241,4.290017707,0.6822,56.657
Delaware,2011,0.00371941,1628042000,9.211665605,12,democratic,907.381,2.957789681,0.666,61.16
Washington,2011,0.0287829,12598705000,10.10032591,12,democratic,6826.627,3.834206174,0.6812,63.61
Pennsylvania,2011,0.0594663,26029290000,10.41546232,9,swing,12745.815,4.105367611,,55.845
Iowa,2011,,,,9,swing,3066.336,3.486619742,,56.191
Nevada,2011,0.00770493,3372564867,9.527960312,10,swing,2712.73,3.43340657,0.6731,52.637
Wisconsin,2011,0.02353276,10300640000,10.01286421,9,swing,5705.288,3.756277572,0.6693,58.248
Ohio,2011,0.05323429,23301445000,10.36738285,9,swing,11544.663,4.06238126,0.6654,49.957
Florida,2011,,,,9,swing,19053.237,4.27996877,,50.468
Wyoming,2012,0.00183132,820756779,8.914214478,9,republican,576.305,2.760652388,0.6692,63.016
Idaho,2012,0.00588734,2638570000,9.42136862,9,republican,1595.324,3.202848899,0.6424,52.508
Kansas,2012,0.00882681,3955974000,9.597253429,9,republican,2885.257,3.460184503,0.6526,54.788
Nebraska,2012,0.00594097,2662605000,9.425306743,9,republican,1853.303,3.267946429,0.6516,57.191
North Dakota,2012,0.00382612,1714778821,9.234208111,9,republican,701.176,2.845827043,0.6676,61.103
Utah,2012,0.00794666,3561512000,9.551634412,9,republican,2853.375,3.455358852,0.6405,63.924
Maryland,2012,0.02031346,9104024000,9.959233394,12,democratic,5886.992,3.769893446,0.6809,78.711
Massachusetts,2012,0.02897406,12985505000,10.11345884,12,democratic,6663.005,3.823670139,0.6835,69.748
Rhode Island,2012,0.00538016,2411262000,9.382244402,12,democratic,1054.621,3.023096415,0.6809,61.431
New York State,2012,0.10713624,48016000000,10.68138598,12,democratic,19572.932,4.291655887,0.6791,52.243
Delaware,2012,0.00335785,1504912000,9.177511105,12,democratic,915.179,2.961506046,0.6609,53.659
Washington,2012,0.02656403,11905389000,10.07574359,12,democratic,6897.058,3.838663878,,68.139
Pennsylvania,2012,0.05088216,22804215000,10.35801513,9,swing,12767.118,4.106092872,0.664,56.871
Iowa,2012,,,,9,swing,3076.19,3.488013156,,58.557
Nevada,2012,0.0074425,3335558435,9.523168553,10,swing,2743.996,3.438383474,0.6696,51.863
Wisconsin,2012,0.02123238,9515862000,9.978448135,9,swing,5719.96,3.757392992,0.6661,58.159
Ohio,2012,0.04773974,21395852000,10.33032959,9,swing,11548.923,4.062541486,0.6619,48.622
Florida,2012,,,,9,swing,19297.822,4.285508296,,50.48
Wyoming,2013,0.00178015,796313525,8.901084092,9,republican,582.122,2.765014013,0.6655,72.817
Idaho,2013,0.00602548,2695371000,9.430618551,9,republican,1611.206,3.20715107,0.6398,52.33
Kansas,2013,0.00845109,3780418000,9.577539822,9,republican,2893.212,3.461380258,0.6506,51.632
Nebraska,2013,0.00609049,2724454000,9.43527948,9,republican,1865.279,3.270743801,0.6494,62.216
North Dakota,2013,0.00308004,1377791289,9.139183435,9,republican,722.036,2.858558852,0.667,63.867
Utah,2013,0.00780078,3489515000,9.54276507,9,republican,2897.64,3.462044428,0.6399,65.913
Maryland,2013,0.02033564,9096720000,9.958884827,12,democratic,5923.188,3.772555517,0.678,74.881
Massachusetts,2013,0.02876404,12866990000,10.10947696,12,democratic,6713.315,3.826937025,0.6817,67.513
Rhode Island,2013,0.00537064,2402444000,9.380653273,12,democratic,1055.081,3.023285802,0.6792,60.812
New York State,2013,0.110127,49263000000,10.69252086,12,democratic,19624.447,4.292797428,0.6767,53.949
Delaware,2013,0.00334628,1496888000,9.175189307,12,democratic,923.576,2.965472639,,58.402
Washington,2013,0.0265773,11888797000,10.07513791,12,democratic,6963.985,3.842857827,0.6738,69.017
Pennsylvania,2013,0.05070792,22683124000,10.35570287,9,swing,12776.309,4.106405407,0.6617,59.552
Iowa,2013,,,,9,swing,3092.997,3.490379499,,64.951
Nevada,2013,0.00746794,3340627326,9.523828029,10,swing,2775.97,3.443414768,0.6659,55.979
Wisconsin,2013,0.0206206,9224190000,9.96492824,9,swing,5736.754,3.758666227,0.6639,55.849
Ohio,2013,0.048146,21537101000,10.33318724,9,swing,11576.684,4.063584179,0.6596,54.793
Florida,2013,,,,9,swing,19545.621,4.291049473,,52.4
Wyoming,2014,0.00147993,752959695,8.87677173,9,republican,582.531,2.765319042,0.6595,59.128
Idaho,2014,0.00522453,2658143000,9.424578341,9,republican,1631.112,3.212483783,0.6375,56.737
Kansas,2014,0.00777383,3955175000,9.597165704,9,republican,2900.475,3.462469127,0.6488,56.743
Nebraska,2014,0.00518882,2639975000,9.421599814,9,republican,1879.321,3.274000967,0.6468,60.38
North Dakota,2014,0.00268519,1366175908,9.135506622,9,republican,737.401,2.867703722,0.6644,64.479
Utah,2014,0.00680655,3463045000,9.539458135,9,republican,2936.879,3.467886054,0.6397,67.296
Maryland,2014,0.0194528,9897214000,9.995512961,12,democratic,5957.283,3.775048232,0.6745,80.867
Massachusetts,2014,0.0258396,13146695000,10.11881659,12,democratic,6762.596,3.830113443,0.6803,67.049
Rhode Island,2014,0.00517055,2630678000,9.420067693,12,democratic,1055.936,3.023637597,0.6779,62.252
New York State,2014,0.09862397,50178000000,10.70051335,12,democratic,19651.049,4.293385739,,57.662
Delaware,2014,0.00371518,1890212000,9.276510516,12,democratic,932.487,2.969642786,0.6537,61.073
Washington,2014,0.02588095,13167733000,10.11951101,12,democratic,7054.655,3.84847578,0.6711,62.714
Pennsylvania,2014,0.04430877,22543458000,10.35302053,9,swing,12788.313,4.106813257,0.6591,58.579
Iowa,2014,,,,9,swing,3109.35,3.492669611,,61.379
Nevada,2014,0.00698204,3552327027,9.55051294,10,swing,2817.628,3.449883654,0.6627,52.954
Wisconsin,2014,0.01826961,9295229000,9.968260094,9,swing,5751.525,3.759783012,0.6614,61.665
Ohio,2014,0.04505034,22920755000,10.36022892,9,swing,11602.7,4.064559063,0.657,52.708
Florida,2014,,,,9,swing,19845.911,4.297671039,,48.988
Wyoming,2015,0.00149158,817670139,8.912578138,9,republican,585.613,2.767610709,0.6541,64.575
Idaho,2015,0.00493718,2706506000,9.432408994,9,republican,1651.059,3.217762593,0.6356,54.716
Kansas,2015,0.00694552,3807458000,9.580635121,9,republican,2909.011,3.463745363,0.6475,58.152
Nebraska,2015,0.00483657,2651355000,9.423467881,9,republican,1891.277,3.276755141,0.6441,64.097
North Dakota,2015,0.00291198,1596314838,9.20311855,9,republican,754.066,2.877409359,0.6618,60.854
Utah,2015,0.00634555,3478563000,9.541399873,9,republican,2981.835,3.474483608,0.6402,70.227
Maryland,2015,0.02012656,11033156000,10.04269976,10,democratic,5985.562,3.777104934,0.6719,78.002
Massachusetts,2015,0.02562078,14045030000,10.14752267,10,democratic,6794.228,3.832140117,0.6788,71.926
Rhode Island,2015,0.00527184,2889963000,9.460892283,12,democratic,1056.065,3.02369065,,59.038
New York State,2015,0.09393476,51494000000,10.71175663,12,democratic,19654.666,4.293465668,0.6714,61.48
Delaware,2015,0.00368229,2018592000,9.305048548,12,democratic,941.252,2.973705912,0.6505,61.216
Washington,2015,0.02683703,14711766000,10.16766481,12,democratic,7163.657,3.855134783,0.6688,71.271
Pennsylvania,2015,0.04393222,24083157000,10.38171342,11,swing,12784.826,4.106694822,0.6568,64.006
Iowa,2015,,,,9,swing,3120.96,3.494288203,,64.5
Nevada,2015,0.00824209,4518221229,9.654967492,9,swing,2866.939,3.457418453,0.6597,55.123
Wisconsin,2015,0.01735759,9515239000,9.978419701,9,swing,5760.94,3.760493352,0.6591,58.745
Ohio,2015,0.04475459,24533971000,10.38976785,9,swing,11617.527,4.06511369,0.6549,56.494
Florida,2015,,,,9,swing,20209.042,4.305545726,,51.75
Wyoming,2016,0.00140092,803950948,8.905229552,9,republican,584.215,2.766572703,0.649,60.513
Idaho,2016,0.00467248,2681411000,9.428363387,9,republican,1682.38,3.225924097,0.6344,59.189
Kansas,2016,0.00673951,3867624000,9.587444247,9,republican,2910.844,3.464018931,0.6452,59.446
Nebraska,2016,0.00474017,2720258000,9.434610096,9,republican,1905.616,3.280035391,0.6413,62.129
North Dakota,2016,0.00281945,1618003233,9.208979385,9,republican,754.434,2.877621252,0.6565,62.977
Utah,2016,0.00622733,3573699000,9.553117971,9,republican,3041.868,3.483140364,0.6409,70.613
Maryland,2016,0.01916737,10999638000,10.04137839,10,democratic,6003.323,3.778391711,0.6685,77.183
Massachusetts,2016,0.02654358,15232645000,10.18277532,10,democratic,6823.608,3.83401407,,75.62
Rhode Island,2016,0.0049924,2865006000,9.457125536,12,democratic,1056.77,3.023980476,0.674,64.383
New York State,2016,0.10068604,57781000000,10.76178505,12,democratic,19633.428,4.292996134,0.6685,64.288
Delaware,2016,0.00382282,2193813000,9.341199606,12,democratic,948.921,2.977230058,0.6461,60.74
Washington,2016,0.02619662,15033533000,10.17706106,12,democratic,7294.771,3.863011663,0.6664,73.573
Pennsylvania,2016,0.04727589,27130356000,10.43345549,11,swing,12782.275,4.106608157,0.6538,63.809
Iowa,2016,,,,9,swing,3131.371,3.495734525,,61.836
Nevada,2016,0.00870738,4996931029,9.698703355,9,swing,2917.563,3.465020243,0.6572,58.003
Wisconsin,2016,0.01633484,9374125000,9.97193074,9,swing,5772.628,3.761373572,0.6562,62.593
Ohio,2016,0.04579707,26281700000,10.41965345,9,swing,11634.37,4.065742871,0.6523,56.49
Florida,2016,,,,9,swing,20613.477,4.314151253,,53.551
Wyoming,2017,0.0015521,889186441,8.948992832,1,republican,578.931,2.762626805,0.6438,60.987
Idaho,2017,0.00471944,2703724000,9.431962356,1,republican,1717.715,3.234951108,0.6325,60.947
Kansas,2017,0.00695344,3983564000,9.600271799,1,republican,2908.718,3.463701618,0.6423,58.287
Nebraska,2017,0.00482976,2766923000,9.441997073,1,republican,1915.947,3.282383491,0.6385,61.035
North Dakota,2017,0.00295788,1694545184,9.229053154,1,republican,754.942,2.877913587,0.6508,61.634
Utah,2017,0.00668315,3828715000,9.58305304,1,republican,3101.042,3.491507648,0.642,71.49
Maryland,2017,0.02089531,11970737000,10.07812089,2,democratic,6023.868,3.779875447,,84.094
Massachusetts,2017,0.02717286,15567087000,10.19220735,2,democratic,6859.789,3.836310757,0.6749,78.102
Rhode Island,2017,0.00517784,2966335000,9.472220196,4,democratic,1055.673,3.023529414,0.6713,66.995
New York State,2017,0.10727346,61456000000,10.78856429,4,democratic,19589.572,4.292024947,0.6652,63.043
Delaware,2017,0.00377882,2164853000,9.335428412,4,democratic,956.823,2.980831606,0.6417,66.545
Washington,2017,0.0268288,15369978000,10.18667325,4,democratic,7423.362,3.870600639,0.6638,73.284
Pennsylvania,2017,0.05190284,29734671000,10.47326314,3,swing,12787.641,4.106790435,0.6503,62.779
Iowa,2017,,,,1,swing,3141.55,3.497143976,,65.014
Nevada,2017,0.00911954,5224500450,9.718044771,2,swing,2969.905,3.472742558,0.655,59.456
Wisconsin,2017,0.01603654,9187189000,9.963182651,1,swing,5790.186,3.762692515,0.6527,65.029
Ohio,2017,0.0458822,26285500000,10.41971624,1,swing,11659.65,4.066685514,0.6494,62.167
Florida,2017,,,,1,swing,20963.613,4.321466134,,54.38
Wyoming,2018,0.00157625,924432541,8.965875225,1,republican,577.601,2.761627936,0.6395,62.539
Idaho,2018,0.00491761,2884057000,9.460003839,1,republican,1750.536,3.243171047,0.6309,58.728
Kansas,2018,0.00675004,3958728000,9.597555663,1,republican,2911.359,3.464095762,0.6401,63.938
Nebraska,2018,0.00470097,2756999000,9.440436609,1,republican,1925.614,3.284569235,0.6359,67.575
North Dakota,2018,0.00279902,1641554845,9.215255397,1,republican,758.08,2.879715039,0.6457,66.505
Utah,2018,0.00663908,3893654000,9.590357356,1,republican,3153.55,3.498799721,,77.067
Maryland,2018,0.02005544,11762012000,10.07048162,2,democratic,6035.802,3.780734985,0.6614,86.223
Massachusetts,2018,0.02784562,16330758000,10.21300634,2,democratic,6882.635,3.837754739,0.6723,86.345
Rhode Island,2018,0.0050917,2986155000,9.475112347,4,democratic,1058.287,3.024603461,0.6686,62.266
New York State,2018,0.111512,65399000000,10.81557111,4,democratic,19530.351,4.290710049,0.662,67.274
Delaware,2018,0.00395554,2319825000,9.365455224,4,democratic,965.479,2.984742832,0.6373,65.012
Washington,2018,0.02667856,15646311000,10.19441196,4,democratic,7523.869,3.876441225,0.661,79.726
Pennsylvania,2018,0.04988696,29257457000,10.46623658,3,swing,12800.922,4.107241251,0.6468,64.524
Iowa,2018,,,,1,swing,3148.618,3.498119974,,68.718
Nevada,2018,0.0091641,5374515683,9.730339335,2,swing,3027.341,3.481061343,0.6532,61.864
Wisconsin,2018,0.01655804,9710876000,9.987258409,1,swing,5807.406,3.763982189,0.6495,62.629
Ohio,2018,0.04483494,26294572000,10.41986611,1,swing,11676.341,4.06730677,0.646,61.633
Florida,2018,,,,1,swing,21244.317,4.327242773,,54.644
Wyoming,2019,0.00139476,858345914,8.933662344,5,republican,578.759,2.762497758,0.6357,65.666
Idaho,2019,0.00501651,3087193000,9.489563781,5,republican,1787.065,3.252140349,0.6298,61.664
Kansas,2019,0.00679889,4184075000,9.621599461,7,republican,2913.314,3.464387296,0.6372,67.135
Nebraska,2019,0.04630593,28496947000,10.45479833,5,republican,1934.408,3.28654808,0.6332,70.954
North Dakota,2019,0.00275002,1692379718,9.228497812,5,republican,762.062,2.881990306,,69.83
Utah,2019,0.00645594,3973026000,9.599121407,5,republican,3205.958,3.505957829,0.6442,80.92
Maryland,2019,0.02011514,12378980000,10.09268486,6,democratic,6045.68,3.781445156,0.6577,90.534
Massachusetts,2019,0.02653195,16327923000,10.21293094,6,democratic,6892.503,3.838376964,0.6695,90.662
Rhode Island,2019,0.00505995,3113925000,9.493308148,8,democratic,1059.361,3.02504398,0.6654,65.379
New York State,2019,0.10736652,66074000000,10.8200306,8,democratic,19453.561,4.288999111,0.6586,70.638
Delaware,2019,0.0037342,2298049000,9.361359285,8,democratic,973.764,2.988453715,0.6328,68.263
Washington,2019,0.02593945,15963291000,10.20312243,8,democratic,7614.893,3.881663805,0.6583,83.712
Pennsylvania,2019,0.0503336,30975599000,10.49101971,7,swing,12801.989,4.10727745,0.6433,67.75
Iowa,2019,,,,5,swing,3155.07,3.499008999,,72.154
Nevada,2019,0.0093239,5737983599,9.758759303,8,swing,3080.156,3.488572713,0.6514,64.957
Wisconsin,2019,0.01653445,10175398000,10.00755141,7,swing,5822.434,3.765104574,0.6459,65.76
Ohio,2019,0.04357113,26813932000,10.4283605,5,swing,11689.1,4.067781074,0.6426,64.715
Florida,2019,,,,5,swing,21477.737,4.33198852,,57.376
